loc,entity,risk_score,complexity,revisions,risk_factor
963,packages/react-client/src/__tests__/ReactFlight-test.js,2.61,5,4,high
295,packages/react-devtools-shared/src/backendAPI.js,2.61,5,5,high
945,packages/react-devtools-shared/src/backend/profilingHooks.js,2.61,5,4,high
1388,packages/react-reconciler/src/ReactChildFiber.new.js,2.60,3,5,high
515,scripts/rollup/forks.js,2.59,3,6,high
117,scripts/jest/TestFlags.js,2.58,5,6,high
541,packages/react-reconciler/src/ReactFiberDevToolsHook.new.js,2.58,4,5,high
260,dangerfile.js,2.58,5,5,high
803,packages/react-devtools-shared/src/__tests__/console-test.js,2.57,1,8,high
513,packages/react-devtools-timeline/src/EventTooltip.js,2.57,4,5,high
114,packages/react-dom/src/server/ReactDOMFizzServerBrowser.js,2.56,1,13,high
411,packages/react-devtools-core/src/standalone.js,2.54,1,9,high
637,packages/react-dom/src/__tests__/ReactDOMUseId-test.js,2.52,1,8,high
1386,packages/react-devtools-shared/src/__tests__/storeStressTestConcurrent-test.js,2.52,4,4,high
176,packages/react-devtools-shared/src/inspectedElementMutableSource.js,2.51,4,6,high
2539,packages/react-devtools-shared/src/__tests__/TimelineProfiler-test.js,2.51,1,6,high
36,packages/react-devtools-shared/src/config/DevToolsFeatureFlags.core-oss.js,2.50,4,9,high
366,packages/react-devtools-shared/src/backend/console.js,2.49,4,5,high
363,packages/react-devtools-shared/src/devtools/views/hooks.js,2.48,4,5,high
155,packages/react-reconciler/src/__tests__/ReactFiberHostContext-test.internal.js,2.48,4,6,high
3070,packages/react-reconciler/src/__tests__/ReactSuspenseList-test.js,2.48,5,3,high
759,scripts/rollup/build.js,2.47,3,5,high
339,packages/react-devtools-shared/src/devtools/views/Components/InspectedElementView.js,2.47,4,5,high
306,packages/react-devtools-shared/src/devtools/views/Components/Element.js,2.46,3,6,high
2790,packages/react-devtools-shared/src/__tests__/treeContext-test.js,2.46,5,3,high
31,packages/use-sync-external-store/src/useSyncExternalStore.js,2.46,3,11,high
705,packages/react-reconciler/src/ReactFiberNewContext.new.js,2.46,2,6,high
1021,packages/react-native-renderer/src/__tests__/ReactFabric-test.internal.js,2.45,4,4,high
696,packages/react-dom/src/__tests__/ReactServerRenderingHydration-test.js,2.45,3,5,high
276,packages/react-reconciler/src/ReactFiberConcurrentUpdates.new.js,2.44,3,6,high
71,packages/react-suspense-test-utils/src/ReactSuspenseTestUtils.js,2.44,4,7,high
660,packages/scheduler/src/forks/SchedulerMock.js,2.44,3,5,high
255,packages/react-devtools-timeline/src/types.js,2.42,3,6,high
269,scripts/devtools/prepare-release.js,2.41,4,5,high
541,packages/react-reconciler/src/ReactFiberDevToolsHook.old.js,2.39,3,5,high
1822,packages/eslint-plugin-react-hooks/src/ExhaustiveDeps.js,2.39,3,4,high
70,packages/react-server-dom-webpack/src/ReactFlightDOMServerNode.js,2.39,3,8,high
47,packages/react/index.stable.js,2.38,2,11,high
207,packages/react/src/ReactHooks.js,2.37,1,9,high
109,packages/react-devtools-inline/src/frontend.js,2.36,5,5,high
103,packages/react-devtools-shell/src/app/index.js,2.34,5,5,high
199,packages/react-server-dom-relay/src/__tests__/ReactDOMServerFB-test.internal.js,2.34,4,5,high
607,packages/react-server-dom-webpack/src/__tests__/ReactFlightDOM-test.js,2.34,4,4,high
47,packages/react-devtools-shared/src/devtools/views/Profiler/ClearProfilingDataButton.js,2.33,5,6,high
276,packages/react-reconciler/src/ReactFiberConcurrentUpdates.old.js,2.33,5,4,high
252,scripts/rollup/packaging.js,2.31,5,4,high
248,scripts/devtools/build-and-test.js,2.30,5,4,high
40,packages/eslint-plugin-react-hooks/package.json,2.29,5,6,high
788,packages/react-dom/src/__tests__/ReactTestUtilsAct-test.js,2.29,2,5,high
825,packages/react-devtools-timeline/src/CanvasPage.js,2.29,1,6,high
397,scripts/jest/jest-cli.js,2.28,1,7,high
309,packages/react-devtools-shared/src/devtools/views/Profiler/ProfilerContext.js,2.28,2,6,high
734,packages/react-dom/src/test-utils/ReactTestUtils.js,2.27,2,5,high
1049,packages/react-dom/src/__tests__/ReactDOMServerIntegrationElements-test.js,2.27,5,3,high
65,packages/react/index.modern.fb.js,2.27,1,11,high
422,packages/react-devtools-shared/src/devtools/views/Components/InspectedElementHooksTree.js,2.26,4,4,high
70,packages/react-server-dom-webpack/src/ReactFlightDOMServerBrowser.js,2.26,3,7,high
409,scripts/rollup/wrappers.js,2.26,4,4,high
36,packages/react-devtools-shared/src/config/DevToolsFeatureFlags.extension-oss.js,2.26,4,7,high
277,packages/react-dom/src/client/DOMPropertyOperations.js,2.25,3,5,high
584,packages/react-server-dom-webpack/src/__tests__/ReactFlightDOMBrowser-test.js,2.23,2,5,high
301,packages/react-native-renderer/src/ReactNativeRenderer.js,2.23,1,7,high
171,packages/react-devtools-timeline/src/Timeline.js,2.22,5,4,high
36,packages/react-devtools-shared/src/config/DevToolsFeatureFlags.core-fb.js,2.21,3,8,high
1722,packages/react-dom/src/__tests__/ReactUpdates-test.js,2.21,4,3,high
213,packages/react-devtools-shared/src/inspectedElementCache.js,2.20,2,6,high
97,fixtures/ssr2/server/render.js,2.19,3,6,high
658,packages/react-dom/src/__tests__/ReactDOMFizzSuppressHydrationWarning-test.js,2.19,3,4,high
27,packages/use-subscription/package.json,2.18,5,6,high
144,packages/react-devtools-extensions/src/background.js,2.18,5,4,high
105,scripts/jest/config.build-devtools.js,2.18,2,7,high
90,packages/react-devtools-shared/src/registerDevToolsEventLogger.js,2.16,4,5,high
1295,packages/react/src/__tests__/ReactStrictMode-test.js,2.15,4,3,high
3191,packages/react-reconciler/src/__tests__/ReactSuspenseEffectsSemantics-test.js,2.15,3,3,high
45,fixtures/ssr/server/render.js,2.14,5,5,high
164,scripts/shared/inlinedHostConfigs.js,2.13,3,5,high
115,scripts/jest/preprocessor.js,2.13,5,4,high
74,packages/react-devtools-extensions/package.json,2.13,3,6,high
